 25-01-2024 11:18:06:370 [pid=9075 tid=9075] NOTICE  cufio-drv:720 running in compatible mode
 25-01-2024 11:18:06:371 [pid=9075 tid=9075] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 25-01-2024 11:18:06:442 [pid=9075 tid=9075] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 25-01-2024 11:22:21:402 [pid=11141 tid=11141] NOTICE  cufio-drv:720 running in compatible mode
 25-01-2024 11:22:21:402 [pid=11141 tid=11141] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 25-01-2024 11:22:21:481 [pid=11141 tid=11141] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 25-01-2024 12:09:50:193 [pid=20386 tid=20386] NOTICE  cufio-drv:720 running in compatible mode
 25-01-2024 12:09:50:193 [pid=20386 tid=20386] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 25-01-2024 12:09:50:259 [pid=20386 tid=20386] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 25-01-2024 14:15:03:716 [pid=45632 tid=45632] NOTICE  cufio-drv:720 running in compatible mode
 25-01-2024 14:15:03:716 [pid=45632 tid=45632] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 25-01-2024 14:15:03:790 [pid=45632 tid=45632] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 25-01-2024 14:37:18:939 [pid=49606 tid=49606] NOTICE  cufio-drv:720 running in compatible mode
 25-01-2024 14:37:18:939 [pid=49606 tid=49606] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 25-01-2024 14:37:19:10 [pid=49606 tid=49606] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 25-01-2024 14:56:31:43 [pid=53093 tid=53093] NOTICE  cufio-drv:720 running in compatible mode
 25-01-2024 14:56:31:43 [pid=53093 tid=53093] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 25-01-2024 14:56:31:117 [pid=53093 tid=53093] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 25-01-2024 17:39:10:360 [pid=81509 tid=81509] NOTICE  cufio-drv:720 running in compatible mode
 25-01-2024 17:39:10:360 [pid=81509 tid=81509] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 25-01-2024 17:39:10:436 [pid=81509 tid=81509] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 25-01-2024 18:51:56:787 [pid=94324 tid=94324] NOTICE  cufio-drv:720 running in compatible mode
 25-01-2024 18:51:56:788 [pid=94324 tid=94324] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 25-01-2024 18:51:56:858 [pid=94324 tid=94324] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 25-01-2024 19:31:20:450 [pid=101282 tid=101282] NOTICE  cufio-drv:720 running in compatible mode
 25-01-2024 19:31:20:450 [pid=101282 tid=101282] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 25-01-2024 19:31:20:525 [pid=101282 tid=101282] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 26-01-2024 15:56:39:629 [pid=959 tid=959] NOTICE  cufio-drv:720 running in compatible mode
 26-01-2024 15:56:39:629 [pid=959 tid=959] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 26-01-2024 15:56:39:689 [pid=959 tid=959] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 26-01-2024 20:27:05:710 [pid=77154 tid=77154] NOTICE  cufio-drv:720 running in compatible mode
 26-01-2024 20:27:05:711 [pid=77154 tid=77154] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 26-01-2024 20:27:05:790 [pid=77154 tid=77154] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 26-01-2024 20:29:08:373 [pid=77582 tid=77582] NOTICE  cufio-drv:720 running in compatible mode
 26-01-2024 20:29:08:373 [pid=77582 tid=77582] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 26-01-2024 20:29:08:446 [pid=77582 tid=77582] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 26-01-2024 22:32:36:177 [pid=99620 tid=99620] NOTICE  cufio-drv:720 running in compatible mode
 26-01-2024 22:32:36:177 [pid=99620 tid=99620] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 26-01-2024 22:32:36:252 [pid=99620 tid=99620] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 26-01-2024 22:36:50:265 [pid=100470 tid=100470] NOTICE  cufio-drv:720 running in compatible mode
 26-01-2024 22:36:50:265 [pid=100470 tid=100470] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 26-01-2024 22:36:50:336 [pid=100470 tid=100470] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 26-01-2024 22:37:21:191 [pid=100633 tid=100633] NOTICE  cufio-drv:720 running in compatible mode
 26-01-2024 22:37:21:191 [pid=100633 tid=100633] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 26-01-2024 22:37:21:264 [pid=100633 tid=100633] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 26-01-2024 22:47:43:163 [pid=102558 tid=102558] NOTICE  cufio-drv:720 running in compatible mode
 26-01-2024 22:47:43:163 [pid=102558 tid=102558] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 26-01-2024 22:47:43:233 [pid=102558 tid=102558] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 26-01-2024 22:51:06:316 [pid=103239 tid=103239] NOTICE  cufio-drv:720 running in compatible mode
 26-01-2024 22:51:06:316 [pid=103239 tid=103239] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 26-01-2024 22:51:06:388 [pid=103239 tid=103239] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 26-01-2024 22:56:08:223 [pid=104218 tid=104218] NOTICE  cufio-drv:720 running in compatible mode
 26-01-2024 22:56:08:223 [pid=104218 tid=104218] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 26-01-2024 22:56:08:289 [pid=104218 tid=104218] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 26-01-2024 22:58:47:705 [pid=104629 tid=104629] NOTICE  cufio-drv:720 running in compatible mode
 26-01-2024 22:58:47:705 [pid=104629 tid=104629] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 26-01-2024 22:58:47:780 [pid=104629 tid=104629] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 26-01-2024 23:06:57:175 [pid=106305 tid=106305] NOTICE  cufio-drv:720 running in compatible mode
 26-01-2024 23:06:57:175 [pid=106305 tid=106305] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 26-01-2024 23:06:57:245 [pid=106305 tid=106305] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 26-01-2024 23:10:09:415 [pid=106906 tid=106906] NOTICE  cufio-drv:720 running in compatible mode
 26-01-2024 23:10:09:415 [pid=106906 tid=106906] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 26-01-2024 23:10:09:487 [pid=106906 tid=106906] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 26-01-2024 23:11:26:729 [pid=107271 tid=107271] NOTICE  cufio-drv:720 running in compatible mode
 26-01-2024 23:11:26:729 [pid=107271 tid=107271] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 26-01-2024 23:11:26:797 [pid=107271 tid=107271] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 26-01-2024 23:14:19:58 [pid=107865 tid=107865] NOTICE  cufio-drv:720 running in compatible mode
 26-01-2024 23:14:19:58 [pid=107865 tid=107865] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 26-01-2024 23:14:19:126 [pid=107865 tid=107865] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 26-01-2024 23:15:53:605 [pid=108231 tid=108231] NOTICE  cufio-drv:720 running in compatible mode
 26-01-2024 23:15:53:605 [pid=108231 tid=108231] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 26-01-2024 23:15:53:677 [pid=108231 tid=108231] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 26-01-2024 23:21:22:848 [pid=109271 tid=109271] NOTICE  cufio-drv:720 running in compatible mode
 26-01-2024 23:21:22:849 [pid=109271 tid=109271] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 26-01-2024 23:21:22:917 [pid=109271 tid=109271] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 26-01-2024 23:26:42:696 [pid=110249 tid=110249] NOTICE  cufio-drv:720 running in compatible mode
 26-01-2024 23:26:42:696 [pid=110249 tid=110249] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 26-01-2024 23:26:42:766 [pid=110249 tid=110249] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 27-01-2024 01:51:32:707 [pid=137694 tid=137694] NOTICE  cufio-drv:720 running in compatible mode
 27-01-2024 01:51:32:708 [pid=137694 tid=137694] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 27-01-2024 01:51:32:781 [pid=137694 tid=137694] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 27-01-2024 02:01:00:104 [pid=139586 tid=139586] NOTICE  cufio-drv:720 running in compatible mode
 27-01-2024 02:01:00:104 [pid=139586 tid=139586] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:01:00.0/resource No such file or directory
 27-01-2024 02:01:00:176 [pid=139586 tid=139586] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 27-01-2024 02:03:01:60 [pid=140037 tid=140037] NOTICE  cufio-drv:720 running in compatible mode
